 Dimension       Time    Gflop/s       GB/s
        20   0.002282   1.752925   5.609361
        40   0.016918   1.891510   6.052832
        60   0.056558   1.909537   6.110520
        80   0.134268   1.906637   6.101240
       100   0.262411   1.905407   6.097301
       120   0.463585   1.863734   5.963950
       140   0.742807   1.847047   5.910551
       160   1.104705   1.853888   5.932442
       180   1.538995   1.894743   6.063178
       200   2.195085   1.822253   5.831208
       220   2.865497   1.857968   5.945496
       240   4.149634   1.665689   5.330204
       260   6.449864   1.362509   4.360030
       280   6.881177   1.595076   5.104243
       300   8.418714   1.603570   5.131425
       320  10.911827   1.501490   4.804768
       340  11.152833   1.762064   5.638603
       360  13.190924   1.768489   5.659164
       380  15.738195   1.743275   5.578480
       400  20.356892   1.571949   5.030237
       420  21.439815   1.727813   5.529003
       440  25.603044   1.663552   5.323367
       460  29.004232   1.677962   5.369479
       480  35.368753   1.563414   5.002924
       500  37.421917   1.670144   5.344462
       520  41.719176   1.685172   5.392551
       540  49.951767   1.576160   5.043713
       560  67.124798   1.308131   4.186018
       580  75.277552   1.295951   4.147042
